Epoch    |                 Staked |                Rewards |            Accumulated |        Unstake Rewards |          Unstake Total |      Available Rewards
214      |         182,811,457.88 |              56,348.06 |           8,993,490.59 |                   0.00 |             727,468.24 |           8,266,022.35
215      |         182,811,457.88 |              56,344.23 |           9,049,834.83 |                   0.00 |             727,468.24 |           8,322,366.59
216      |         182,811,457.88 |              56,279.78 |           9,106,114.61 |                   0.00 |             727,468.24 |           8,378,646.37
217      |         182,811,457.88 |              56,192.45 |           9,162,307.06 |                   0.00 |             727,468.24 |           8,434,838.82
218      |         182,811,457.88 |              56,341.45 |           9,218,648.51 |                   0.00 |             727,468.24 |           8,491,180.27
  ▶ [Partial Unstake] ObjId: 0x2b51887b8cc8abf61dc58b171ecedf705aa8033d743ab16ac0bb4ac9b8347243 | TX: 3RNUp1pPzmXts6oyR3bqCpyeYVpdtE4A7puarQRnVJSx | Validator: IOTA 3 | Amount: 3,000,000.00 | Rewards: 74,715.39
219      |         176,811,457.88 |              56,055.30 |           9,274,703.81 |              74,715.39 |             802,183.63 |           8,472,520.18
220      |         179,811,457.88 |              53,613.18 |           9,328,316.99 |                   0.00 |             802,183.63 |           8,526,133.36
221      |         179,811,457.88 |              55,268.64 |           9,383,585.64 |                   0.00 |             802,183.63 |           8,581,402.00
222      |         179,811,457.88 |              55,345.67 |           9,438,931.30 |                   0.00 |             802,183.63 |           8,636,747.67
223      |         179,811,457.88 |              55,268.20 |           9,494,199.50 |                   0.00 |             802,183.63 |           8,692,015.87
  ▶ [Unstaked] ObjId: 0x185f0ba9870483fbe9ab2635b327cf1efe3a63e5fa7d198ce32a063a67b695ee | TX: 6pdeSKJbhRLY8DhWjLuCPcVxpCi7yQdj2KjvEbfJnJCa | Validator: IOTA 3 | Amount: 2,816,564.86 | Rewards: 117,859.87
  ▶ [Unstaked] ObjId: 0xb18f2d0549d7e767b8344bea0437baa4f5b32db54a91a6464432103313e35c4e | TX: 6pdeSKJbhRLY8DhWjLuCPcVxpCi7yQdj2KjvEbfJnJCa | Validator: IOTA 3 | Amount: 1,550,305.42 | Rewards: 64,872.92
  ▶ [Unstaked] ObjId: 0xda01f468dacb139e26128cfa092abed2e6ac2f9a812ec61b9483826df78c38f5 | TX: 6pdeSKJbhRLY8DhWjLuCPcVxpCi7yQdj2KjvEbfJnJCa | Validator: IOTA 3 | Amount: 2,816,564.86 | Rewards: 160,667.87
  ▶ [Unstaked] ObjId: 0xe7a5fa488a1b6a6b023fd26e14d4532895d02426af949b5fdb0bb684469a77a5 | TX: 6pdeSKJbhRLY8DhWjLuCPcVxpCi7yQdj2KjvEbfJnJCa | Validator: IOTA 3 | Amount: 2,816,564.86 | Rewards: 160,667.87
224      |         169,811,457.88 |              56,639.57 |           9,550,839.07 |             504,068.54 |           1,306,252.18 |           8,244,586.90
225      |         175,444,587.60 |              53,040.11 |           9,603,879.18 |                   0.00 |           1,306,252.18 |           8,297,627.01
226      |         175,444,587.60 |              54,417.85 |           9,658,297.03 |                   0.00 |           1,306,252.18 |           8,352,044.85
